date,discharge_cfs
2012-03-21,9230
2012-03-22,9200
2012-03-23,9170
2012-03-24,9150
2012-03-25,9860
2012-03-26,11800
2012-03-27,15100
2012-03-28,18000
2012-03-29,16100
2012-03-30,13800
2012-03-31,12400
2012-04-01,11300
2012-04-02,10700
2012-04-03,10400
2012-04-04,9940
2012-04-05,9330
2012-04-06,8610
2012-04-07,8010
2012-04-08,7450
2012-04-09,6970
2012-04-10,6490
2012-04-11,6410
2012-04-12,5960
2012-04-13,5830
2012-04-14,5620
2012-04-15,5410
2012-04-16,5160
2012-04-17,5040
2012-04-18,4920
2012-04-19,4990
2012-04-20,4880
2012-04-21,4810
2012-04-22,5110
2012-04-23,6870
2012-04-24,8140
2012-04-25,8760
2012-04-26,8740
2012-04-27,8290
2012-04-28,7330
2012-04-29,7060
2012-04-30,6600
2012-05-01,6290
2012-05-02,5870
2012-05-03,5930
2012-05-04,5990
2012-05-05,6190
2012-05-06,6330
2012-05-07,5990
2012-05-08,5830
2012-05-09,6550
2012-05-10,7710
2012-05-11,6980
2012-05-12,6620
2012-05-13,6500
2012-05-14,6190
2012-05-15,6990
2012-05-16,9020
2012-05-17,18000
2012-05-18,20300
2012-05-19,15200
2012-05-20,11600
2012-05-21,9620
2012-05-22,10000
2012-05-23,12400
2012-05-24,14000
2012-05-25,14900
2012-05-26,12000
2012-05-27,9800
2012-05-28,8510
2012-05-29,8220
2012-05-30,12200
2012-05-31,13200
2012-06-01,12400
2012-06-02,20100
2012-06-03,20000
2012-06-04,13900
2012-06-05,10400
2012-06-06,8590
2012-06-07,7480
2012-06-08,6410
2012-06-09,5760
2012-06-10,5220
2012-06-11,4750
2012-06-12,4500
2012-06-13,4980
2012-06-14,5570
2012-06-15,5540
2012-06-16,4820
2012-06-17,4380
2012-06-18,3990
2012-06-19,3720
2012-06-20,3430
2012-06-21,3380
2012-06-22,3450
2012-06-23,3980
2012-06-24,3970
2012-06-25,3480
2012-06-26,3000
2012-06-27,2650
2012-06-28,2500
2012-06-29,2340
2012-06-30,2880
2012-07-01,2840
2012-07-02,2410
2012-07-03,2440
2012-07-04,2410
2012-07-05,2260
2012-07-06,2120
2012-07-07,1940
2012-07-08,1860
2012-07-09,1950
2012-07-10,3660
2012-07-11,2920
2012-07-12,2170
2012-07-13,1830
2012-07-14,2120
2012-07-15,2190
2012-07-16,1910
2012-07-17,1770
2012-07-18,1740
2012-07-19,1950
2012-07-20,3050
2012-07-21,4850
2012-07-22,5240
2012-07-23,4920
2012-07-24,4740
2012-07-25,4670
2012-07-26,4310
2012-07-27,3510
2012-07-28,3100
2012-07-29,4190
2012-07-30,4100
2012-07-31,3390
2012-08-01,2950
2012-08-02,2650
2012-08-03,2510
2012-08-04,2490
2012-08-05,2440
2012-08-06,2420
2012-08-07,2620
2012-08-08,2570
2012-08-09,2470
2012-08-10,3090
2012-08-11,3150
2012-08-12,3060
2012-08-13,3990
2012-08-14,3650
2012-08-15,3170
2012-08-16,2820
2012-08-17,2570
2012-08-18,2610
2012-08-19,3220
2012-08-20,4150
2012-08-21,4250
2012-08-22,3750
2012-08-23,3700
2012-08-24,3490
2012-08-25,3230
2012-08-26,3090
2012-08-27,3170
2012-08-28,3320
2012-08-29,3830
2012-08-30,3730
2012-08-31,3090
2012-09-01,2860
2012-09-02,2600
2012-09-03,2320
2012-09-04,2820
2012-09-05,3150
2012-09-06,2980
2012-09-07,4230
2012-09-08,3770
2012-09-09,3330
2012-09-10,2950
2012-09-11,2680
2012-09-12,2550
2012-09-13,2300
2012-09-14,2130
2012-09-15,1960
2012-09-16,1880
2012-09-17,1720
2012-09-18,1980
2012-09-19,6740
2012-09-20,13100
2012-09-21,8480
2012-09-22,7730
2012-09-23,7000
2012-09-24,5820
2012-09-25,4660
2012-09-26,3880
2012-09-27,3450
2012-09-28,3390
2012-09-29,4480
2012-09-30,5590
2012-10-01,4730
2012-10-02,6420
2012-10-03,8140
2012-10-04,7700
2012-10-05,6000
2012-10-06,4910
2012-10-07,4220
2012-10-08,3800
2012-10-09,3510
2012-10-10,3250
2012-10-11,3070
2012-10-12,2920
2012-10-13,2810
2012-10-14,2740
2012-10-15,2570
2012-10-16,2760
2012-10-17,2570
2012-10-18,2430
2012-10-19,3020
2012-10-20,5280
2012-10-21,5170
2012-10-22,3830
2012-10-23,3220
2012-10-24,2900
2012-10-25,2760
2012-10-26,2680
2012-10-27,2540
2012-10-28,2450
2012-10-29,8080
2012-10-30,76200
2012-10-31,134000
2012-11-01,76800
2012-11-02,35100
2012-11-03,22600
2012-11-04,16900
2012-11-05,13700
2012-11-06,11500
2012-11-07,9990
2012-11-08,8800
2012-11-09,7910
2012-11-10,7220
2012-11-11,6640
2012-11-12,6120
2012-11-13,6870
2012-11-14,8250
2012-11-15,7900
2012-11-16,7040
2012-11-17,6940
2012-11-18,6600
2012-11-19,6080
2012-11-20,5700
2012-11-21,5410
2012-11-22,5140
2012-11-23,4940
2012-11-24,4770
2012-11-25,4470
2012-11-26,4250
2012-11-27,4240
2012-11-28,4190
2012-11-29,4250
2012-11-30,4190
2012-12-01,3990
2012-12-02,3870
2012-12-03,3770
2012-12-04,3690
2012-12-05,3630
2012-12-06,3530
2012-12-07,3430
2012-12-08,3410
2012-12-09,3520
2012-12-10,3630
2012-12-11,3850
2012-12-12,4330
2012-12-13,4670
2012-12-14,4900
2012-12-15,4900
2012-12-16,4750
2012-12-17,4580
2012-12-18,4520
2012-12-19,4400
2012-12-20,4590
2012-12-21,6160
2012-12-22,11800
2012-12-23,14800
